Game;Team;Player;#;Nation;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Att;Succ
FC Copenhagen vs. Manchester United;Manchester Utd;Jonny Evans;35;nir NIR;CB;35-309;15;0;0;0;0;0;0;0;0;17;0;0;0;0.0;0.0;0.0;0;0;16;17;94.1;1;14;0;0;0
FC Copenhagen vs. Manchester United;Manchester Utd;Raphaël Varane;19;fr FRA;CB;30-197;75;0;0;0;0;0;0;0;0;62;2;1;1;0.0;0.0;0.0;0;0;42;52;80.8;0;38;0;0;0
FC Copenhagen vs. Manchester United;Manchester Utd;Harry Maguire;5;eng ENG;CB;30-248;90;0;0;0;0;1;1;1;0;83;1;1;1;0.1;0.1;0.0;0;0;66;73;90.4;4;53;0;0;0
FC Copenhagen vs. Manchester United;Manchester Utd;Aaron Wan-Bissaka;29;eng ENG;RB;25-347;90;0;0;0;0;0;0;0;0;78;3;4;0;0.0;0.0;0.0;1;1;56;65;86.2;6;47;1;1;1
FC Copenhagen vs. Manchester United;Manchester Utd;André Onana;24;cm CMR;GK;27-220;90;0;0;0;0;0;0;0;0;54;0;1;0;0.0;0.0;0.0;0;0;43;51;84.3;0;36;0;0;0
Paris Saint-Germain vs. Dortmund;Paris S-G;Randal Kolo Muani;23;fr FRA;FW;24-288;79;0;0;0;0;2;0;0;0;27;0;0;1;0.3;0.3;0.1;2;0;11;14;78.6;1;20;3;3;1
Paris Saint-Germain vs. Dortmund;Paris S-G;Gonçalo Ramos;9;pt POR;FW;22-091;11;0;0;0;0;1;0;0;0;8;0;0;0;0.2;0.2;0.1;2;0;4;5;80.0;1;6;1;1;0
Paris Saint-Germain vs. Dortmund;Paris S-G;Kylian Mbappé;7;fr FRA;LW;24-273;90;1;0;1;1;4;0;0;0;67;0;0;2;1.1;0.4;0.0;5;1;38;50;76.0;6;56;6;8;4
Paris Saint-Germain vs. Dortmund;Paris S-G;Ousmane Dembélé;10;fr FRA;RW;26-127;90;0;0;0;0;1;1;0;0;90;3;0;0;0.0;0.0;0.7;6;0;53;78;67.9;6;68;10;3;2
Paris Saint-Germain vs. Dortmund;Paris S-G;Vitinha;17;pt POR;LM;23-218;79;0;1;0;0;2;0;0;0;66;2;1;2;0.1;0.1;0.3;4;1;47;55;85.5;6;50;0;3;1
Paris Saint-Germain vs. Dortmund;Paris S-G;Lee Kang-in;19;kr KOR;LM;22-212;11;0;0;0;0;0;0;0;0;14;0;0;1;0.0;0.0;0.0;0;0;12;12;100.0;1;13;0;0;0
Paris Saint-Germain vs. Dortmund;Paris S-G;Manuel Ugarte Ribeiro;4;uy URU;CM;22-161;90;0;0;0;0;0;0;0;0;70;1;2;0;0.0;0.0;0.0;1;0;61;63;96.8;6;61;0;0;0
